"res","h3_address","lng","lat"
0,"8001fffffffffff",38.023,79.242
0,"8003fffffffffff",-107.429,79.221
0,"8005fffffffffff",145.356,74.928
0,"8007fffffffffff",-30.968,69.663
0,"8009fffffffffff",10.536,64.7
0,"800bfffffffffff",89.573,64.437
0,"800dfffffffffff",-158.917,64.418
0,"800ffffffffffff",-77.207,60.433
0,"8011fffffffffff",45.307,60.185
0,"8013fffffffffff",-119.291,59.005
0,"8015fffffffffff",127.088,55.257
0,"8017fffffffffff",163.572,55.25
0,"8019fffffffffff",-11.602,52.676
0,"801bfffffffffff",-44.61,50.16
0,"801dfffffffffff",-143.478,50.103
0,"801ffffffffffff",18.303,48.758
0,"8021fffffffffff",71.528,46.042
0,"8023fffffffffff",-167.344,45.805
0,"8025fffffffffff",101.501,44.986
0,"8027fffffffffff",-97.425,43.423
0,"8029fffffffffff",-124.761,40.132
0,"802bfffffffffff",-70.149,39.993
0,"802dfffffffffff",44.214,39.642
0,"802ffffffffffff",143.636,39.548
0,"8031fffffffffff",122.3,39.1
0,"8033fffffffffff",169.247,34.717
0,"8035fffffffffff",-25.818,34.388
0,"8037fffffffffff",-147.58,33.909
0,"8039fffffffffff",-0.535,33.711
0,"803bfffffffffff",-50.042,30.016
0,"803dfffffffffff",86.005,28.508
0,"803ffffffffffff",23.032,28.173
0,"8041fffffffffff",109.167,26.807
0,"8043fffffffffff",62.954,26.284
0,"8045fffffffffff",-85.159,25.469
0,"8047fffffffffff",-169.118,25.3
0,"8049fffffffffff",-108.225,24.487
0,"804bfffffffffff",130.22,24.054
0,"804dfffffffffff",-67.132,23.718
0,"804ffffffffffff",152.071,20.31
0,"8051fffffffffff",-130.357,20.143
0,"8053fffffffffff",43.639,19.094
0,"8055fffffffffff",-13.375,16.703
0,"8057fffffffffff",-34.688,15.072
0,"8059fffffffffff",6.359,14.13
0,"805bfffffffffff",172.578,14.029
0,"805dfffffffffff",-150.98,13.233
0,"805ffffffffffff",-55.499,11.51
0,"8061fffffffffff",74.915,10.77
0,"8063fffffffffff",58.158,10.447
0,"8065fffffffffff",96.151,9.898
0,"8067fffffffffff",-74.833,8.983
0,"8069fffffffffff",117.194,7.717
0,"806bfffffffffff",26.175,7.48
0,"806dfffffffffff",-95.547,7.461
0,"806ffffffffffff",-116.077,4.992
0,"8071fffffffffff",-170.36,4.78
0,"8073fffffffffff",137.978,4.53
0,"8075fffffffffff",-5.245,2.301
0,"8077fffffffffff",158.566,0.762
0,"8079fffffffffff",-134.633,0.019
0,"807bfffffffffff",45.367,-0.019
0,"807dfffffffffff",-21.434,-0.762
0,"807ffffffffffff",174.755,-2.301
0,"8081fffffffffff",-42.022,-4.53
0,"8083fffffffffff",9.64,-4.78
0,"8085fffffffffff",63.923,-4.992
0,"8087fffffffffff",84.453,-7.461
0,"8089fffffffffff",-153.825,-7.48
0,"808bfffffffffff",-62.806,-7.717
0,"808dfffffffffff",105.167,-8.983
0,"808ffffffffffff",-83.849,-9.898
0,"8091fffffffffff",-121.842,-10.447
0,"8093fffffffffff",-105.085,-10.77
0,"8095fffffffffff",124.501,-11.51
0,"8097fffffffffff",29.02,-13.233
0,"8099fffffffffff",-7.422,-14.029
0,"809bfffffffffff",-173.641,-14.13
0,"809dfffffffffff",145.312,-15.072
0,"809ffffffffffff",166.625,-16.703
0,"80a1fffffffffff",-136.361,-19.094
0,"80a3fffffffffff",49.643,-20.143
0,"80a5fffffffffff",-27.929,-20.31
0,"80a7fffffffffff",112.868,-23.718
0,"80a9fffffffffff",-49.78,-24.054
0,"80abfffffffffff",71.775,-24.487
0,"80adfffffffffff",10.882,-25.3
0,"80affffffffffff",94.841,-25.469
0,"80b1fffffffffff",-117.046,-26.284
0,"80b3fffffffffff",-70.833,-26.807
0,"80b5fffffffffff",-156.968,-28.173
0,"80b7fffffffffff",-93.995,-28.508
0,"80b9fffffffffff",129.958,-30.016
0,"80bbfffffffffff",179.465,-33.711
0,"80bdfffffffffff",32.42,-33.909
0,"80bffffffffffff",154.182,-34.388
0,"80c1fffffffffff",-10.753,-34.717
0,"80c3fffffffffff",-57.7,-39.1
0,"80c5fffffffffff",-36.364,-39.548
0,"80c7fffffffffff",-135.786,-39.642
0,"80c9fffffffffff",109.851,-39.993
0,"80cbfffffffffff",55.239,-40.132
0,"80cdfffffffffff",82.575,-43.423
0,"80cffffffffffff",-78.499,-44.986
0,"80d1fffffffffff",12.656,-45.805
0,"80d3fffffffffff",-108.472,-46.042
0,"80d5fffffffffff",-161.697,-48.758
0,"80d7fffffffffff",36.522,-50.103
0,"80d9fffffffffff",135.39,-50.16
0,"80dbfffffffffff",168.398,-52.676
0,"80ddfffffffffff",-16.428,-55.25
0,"80dffffffffffff",-52.912,-55.257
0,"80e1fffffffffff",60.709,-59.005
0,"80e3fffffffffff",-134.693,-60.185
0,"80e5fffffffffff",102.793,-60.433
0,"80e7fffffffffff",21.083,-64.418
0,"80e9fffffffffff",-90.427,-64.437
0,"80ebfffffffffff",-169.464,-64.7
0,"80edfffffffffff",149.032,-69.663
0,"80effffffffffff",-34.644,-74.928
0,"80f1fffffffffff",72.571,-79.221
0,"80f3fffffffffff",-141.977,-79.242
